ECR_ID,Product_Type,Component_Name,Change_Type,Change_Complexity,Supplier_Criticality,Past_Similar_Changes,Team_Experience_Level,BOM_Depth,Urgency,Approval_Time_Days,Parts_Affected,Risk_Score
ECR_1068,Chassis,Frame,Process,1,2,1,5,6,Low,6,14,0.33803503970638604
ECR_1069,Chassis,Controller,Supplier,7,3,3,1,3,High,13,8,0.3658318221733279
ECR_1070,Engine,Frame,Supplier,2,5,0,4,7,Low,14,12,0.36969711256397186
ECR_1071,Display,Cell,Process,9,4,3,4,7,Low,22,16,0.41321722054100896
ECR_1072,Display,Frame,Supplier,3,2,1,2,5,High,9,10,0.3434064737778487
ECR_1073,Battery,Sensor,Process,8,1,0,2,1,Medium,16,5,0.33800110193692295
ECR_1074,Display,Sensor,Supplier,8,1,1,3,3,High,11,9,0.3534483952875611
ECR_1075,Battery,Sensor,Design,3,3,5,3,2,Medium,10,4,0.34042485799040645
ECR_1076,Engine,Valve,Design,4,4,0,2,7,Low,17,18,0.3808224871322769
ECR_1077,Chassis,Cell,Process,2,1,3,3,5,Medium,5,10,0.3342178403608035
ECR_1078,Chassis,Controller,Supplier,4,3,1,1,2,Low,14,7,0.3443747845101367
ECR_1079,Chassis,Controller,Supplier,9,5,2,4,3,Low,27,12,0.38938270228473104
ECR_1080,Display,Valve,Design,2,3,3,3,5,Medium,15,9,0.35612002811291804
ECR_1081,Engine,Frame,Design,3,3,4,3,2,Low,12,5,0.3370725276842176
ECR_1082,Display,Valve,Process,4,3,0,1,4,Medium,13,9,0.35234626266475594
ECR_1083,Display,Frame,Design,5,2,1,5,7,High,11,19,0.36615373457148404
ECR_1084,Engine,Frame,Process,1,3,4,2,4,Low,11,6,0.33346932269197344
ECR_1085,Engine,Connector,Design,7,3,1,1,1,Low,20,3,0.35619633070581336
ECR_1086,Engine,Controller,Design,10,2,4,5,6,High,14,15,0.3897377858103128
ECR_1087,Engine,Sensor,Supplier,7,2,5,1,3,Low,16,10,0.3628995180185125
ECR_1088,Chassis,Frame,Design,9,5,1,4,6,High,20,19,0.4137007406679145
ECR_1089,PCB,Connector,Design,4,4,2,1,6,High,15,16,0.3803651142241483
ECR_1090,PCB,Controller,Process,6,1,3,1,2,Low,12,6,0.33180234895738603
ECR_1091,Engine,Sensor,Design,2,1,1,4,1,High,6,2,0.31412684644266
ECR_1092,PCB,Frame,Process,4,3,3,2,3,High,8,7,0.34904441839073835
ECR_1093,PCB,Frame,Design,2,5,2,5,4,High,10,9,0.37079721001267996
ECR_1094,Engine,Valve,Design,10,3,3,3,6,Low,23,16,0.39551277641663596
ECR_1095,PCB,Valve,Process,5,1,1,2,2,High,11,6,0.3353878319180303
ECR_1096,Display,Controller,Supplier,7,2,0,1,6,Medium,16,16,0.3708064949536811
ECR_1097,Battery,Sensor,Process,1,4,3,3,5,Medium,14,8,0.3511629787484253
ECR_1098,Battery,Frame,Process,10,5,0,4,4,High,22,13,0.4051978914249349
ECR_1099,Engine,Controller,Process,10,2,1,2,6,Medium,21,16,0.38334624703235876
ECR_1100,Chassis,Controller,Supplier,7,4,0,5,5,Low,16,10,0.39148611769997466
ECR_1101,Engine,Cell,Design,10,5,2,2,5,High,20,15,0.40321955417401545
ECR_1102,Chassis,Valve,Process,6,5,1,2,2,Low,22,8,0.3666135877946127
ECR_1103,Battery,Sensor,Process,6,1,1,3,2,Medium,10,5,0.33646096334879416
ECR_1104,Engine,Frame,Supplier,8,2,1,4,5,Medium,18,16,0.36838336999080046
ECR_1105,Display,Controller,Process,8,5,0,4,1,Medium,24,5,0.3742715641481704
ECR_1106,PCB,Frame,Design,6,5,1,2,6,Medium,23,13,0.39482416186887015
ECR_1107,Chassis,Cell,Supplier,3,4,0,4,5,Low,11,11,0.36633129981232976
ECR_1108,PCB,Sensor,Design,5,1,2,3,5,High,3,13,0.3511426989517845
ECR_1109,PCB,Controller,Design,2,3,3,3,2,Low,10,6,0.32573626735384875
ECR_1110,Engine,Frame,Supplier,5,1,2,5,6,High,5,15,0.35092725955078863
ECR_1111,PCB,Valve,Process,9,3,3,4,3,Medium,22,10,0.3832062844652736
ECR_1112,Display,Cell,Design,10,2,2,5,4,Medium,17,12,0.3829699508996103
ECR_1113,PCB,Sensor,Design,1,2,1,1,2,Medium,10,5,0.32046192328884177
ECR_1114,Engine,Cell,Design,10,5,3,3,6,Medium,23,15,0.4120453777830494
ECR_1115,Display,Valve,Design,5,2,0,2,6,Low,14,11,0.35865247084570573
ECR_1116,Battery,Sensor,Supplier,6,5,0,3,7,High,17,20,0.3950759805593381
ECR_1117,PCB,Cell,Supplier,7,1,1,1,1,High,8,6,0.3327928863829458
ECR_1118,Engine,Connector,Design,9,2,4,2,4,Medium,22,15,0.3703914136189357
ECR_1119,Battery,Valve,Process,6,1,4,4,2,Low,10,8,0.3373528998336259
ECR_1120,Battery,Valve,Design,5,1,0,4,2,Medium,13,6,0.33426700564279355
ECR_1121,Chassis,Valve,Process,7,2,7,3,3,High,12,10,0.35444702045318377
ECR_1122,Display,Connector,Design,1,1,3,2,7,High,2,17,0.3340772611600128
ECR_1123,PCB,Connector,Process,5,2,3,2,7,Low,13,19,0.3693821717507787
ECR_1124,Engine,Frame,Design,2,2,4,5,1,High,5,3,0.31828442866380935
ECR_1125,Chassis,Controller,Process,4,2,2,1,7,Low,14,16,0.36349351196601787
ECR_1126,Display,Cell,Design,7,3,3,4,1,Medium,19,5,0.3467406036686818
ECR_1127,Chassis,Frame,Design,5,1,1,3,6,Medium,13,12,0.35233540639891997
ECR_1128,Display,Cell,Process,6,4,3,2,6,Low,20,13,0.39556603289643727
ECR_1129,Display,Controller,Supplier,2,2,1,4,2,Medium,6,4,0.32036754498298825
ECR_1130,PCB,Connector,Process,3,1,1,3,3,Low,12,6,0.3321655138757198
ECR_1131,Display,Controller,Supplier,7,5,2,4,2,Medium,22,7,0.3834697050819533
ECR_1132,Chassis,Connector,Design,2,2,2,3,7,Medium,9,17,0.3543731047235227
ECR_1133,Display,Controller,Process,6,2,2,4,5,High,10,11,0.3633478292523064
ECR_1134,PCB,Frame,Process,5,4,2,5,6,High,13,12,0.37682379501108276
ECR_1135,PCB,Sensor,Process,10,3,3,1,5,Low,22,16,0.38348262567160013
ECR_1136,Chassis,Frame,Supplier,1,3,3,4,7,Medium,11,13,0.3573724433575766
ECR_1137,Battery,Cell,Supplier,10,2,4,1,3,Medium,19,12,0.3693860346643646
ECR_1138,Battery,Frame,Design,4,1,3,4,2,Medium,8,4,0.3180394760187144
ECR_1139,Display,Valve,Supplier,2,5,2,2,6,High,17,10,0.37273043108540416
ECR_1140,Engine,Cell,Supplier,4,5,1,5,3,Low,18,8,0.3647300599902315
ECR_1141,Display,Controller,Design,1,1,2,5,2,Low,9,6,0.31958913245651327
ECR_1142,Chassis,Cell,Process,2,2,4,1,2,Low,9,6,0.3292090155339336
ECR_1143,Chassis,Sensor,Process,8,5,1,2,5,Medium,25,16,0.3951104442480503
ECR_1144,Chassis,Connector,Design,6,3,2,3,4,Low,17,11,0.36750734562008297
ECR_1145,Chassis,Controller,Process,2,1,1,5,7,High,1,15,0.3342075262259555
ECR_1146,Chassis,Cell,Supplier,6,4,1,2,1,High,13,4,0.35091008504416926
ECR_1147,PCB,Controller,Design,10,2,2,2,6,Low,22,15,0.3815079907186403
ECR_1148,Battery,Controller,Design,9,1,1,1,1,Medium,18,7,0.34424678387312846
ECR_1149,Chassis,Controller,Design,7,5,4,2,3,High,20,11,0.3869130717491943
ECR_1150,Engine,Connector,Process,9,2,1,2,1,High,19,6,0.3593493341342859
ECR_1151,Engine,Frame,Design,5,3,2,3,5,Medium,14,13,0.36321054308722844
ECR_1152,Engine,Controller,Design,7,2,1,1,4,Medium,17,10,0.3633685896930564
ECR_1153,Engine,Valve,Design,7,2,4,1,6,Low,23,19,0.36201221210243056
ECR_1154,PCB,Sensor,Process,3,3,3,2,7,High,9,12,0.3723308173549285
ECR_1155,Engine,Connector,Supplier,7,3,1,3,2,High,18,7,0.35218664777632736
ECR_1156,Chassis,Cell,Design,1,2,2,4,2,Low,7,2,0.31753068419553954
ECR_1157,Display,Connector,Supplier,9,3,0,5,7,Low,18,18,0.3914779453631329
ECR_1158,Engine,Cell,Process,10,1,3,1,5,High,16,14,0.36281373846375786
ECR_1159,PCB,Connector,Process,6,3,3,3,6,High,15,18,0.3766555497698001
ECR_1160,PCB,Cell,Process,5,3,2,3,1,Medium,18,5,0.35353542553914663
ECR_1161,Engine,Controller,Process,7,2,4,2,7,Medium,18,17,0.36593028790791654
ECR_1162,Display,Frame,Supplier,5,1,2,5,2,High,6,5,0.3185390267589451
ECR_1163,Engine,Cell,Design,10,4,3,1,1,High,19,6,0.3756261589274841
ECR_1164,PCB,Cell,Process,5,4,1,4,5,Medium,16,10,0.3738239680577322
ECR_1165,Battery,Valve,Process,10,5,1,2,2,Low,26,8,0.3988335564121631
ECR_1166,Chassis,Cell,Supplier,7,3,4,1,3,Low,23,7,0.3626002382360081
ECR_1167,PCB,Valve,Supplier,10,3,3,1,4,High,17,13,0.3757834099912576
ECR_1168,Engine,Sensor,Process,7,1,1,3,1,High,11,3,0.34141554858656026
ECR_1169,Chassis,Controller,Design,3,4,2,5,7,Medium,11,12,0.37042650697014007
ECR_1170,Engine,Valve,Design,3,5,1,4,6,High,12,11,0.38315285753929895
ECR_1171,Engine,Frame,Process,10,1,1,5,1,Low,16,8,0.3443090090977161
ECR_1172,Battery,Controller,Supplier,3,3,1,3,1,Medium,14,2,0.3340831185434354
ECR_1173,Chassis,Valve,Process,6,4,0,4,1,Medium,15,6,0.3617788327556007
ECR_1174,Chassis,Controller,Process,6,5,3,4,7,Low,19,18,0.3957194208129521
ECR_1175,Battery,Controller,Supplier,3,2,1,2,5,Low,11,11,0.34712433137221893
ECR_1176,PCB,Controller,Process,3,4,3,4,5,Medium,13,9,0.36320720199234646
ECR_1177,Engine,Sensor,Process,8,5,2,1,6,High,23,16,0.40271682251724567
ECR_1178,Display,Frame,Process,8,1,1,5,5,Low,7,14,0.36754289423621067
ECR_1179,Engine,Connector,Supplier,7,2,5,5,7,Medium,14,17,0.3767750908544732
ECR_1180,Engine,Connector,Design,10,5,0,2,6,High,22,14,0.41744331682910485
ECR_1181,PCB,Valve,Design,4,5,6,4,6,High,14,13,0.3886825354361656
ECR_1182,Engine,Controller,Supplier,4,3,2,3,5,Medium,17,13,0.36287933877620526
ECR_1183,Battery,Valve,Design,3,4,2,1,2,Low,13,6,0.35178362140219294
ECR_1184,Battery,Sensor,Process,5,3,0,2,5,High,14,10,0.3712023554409569
ECR_1185,Chassis,Sensor,Design,3,2,3,4,2,Low,6,5,0.3253134369904992
ECR_1186,Display,Cell,Process,8,5,0,3,3,Medium,23,10,0.390740797318689
ECR_1187,Engine,Sensor,Design,7,3,1,4,5,Low,17,13,0.3734513513351637
ECR_1188,Engine,Cell,Supplier,3,4,0,2,3,High,14,7,0.3557052391352963
ECR_1189,PCB,Frame,Design,9,2,2,3,5,Medium,20,12,0.3715081027621116
ECR_1190,Battery,Valve,Design,5,1,0,3,3,High,9,10,0.3268866182880291
ECR_1191,Display,Frame,Design,9,3,2,3,4,High,15,11,0.38400057249013475
ECR_1192,Chassis,Sensor,Supplier,7,2,2,3,3,Medium,12,11,0.36706360763015866
ECR_1193,Battery,Frame,Design,7,1,2,4,2,Medium,15,6,0.34538116764767884
ECR_1194,Chassis,Frame,Supplier,6,3,2,3,1,Low,19,5,0.35433616436623505
ECR_1195,PCB,Frame,Process,2,2,5,4,6,Medium,7,13,0.346275417783971
ECR_1196,PCB,Sensor,Design,9,2,1,3,3,Low,21,9,0.3642255510822042
ECR_1197,Engine,Controller,Supplier,6,3,3,3,1,Medium,17,4,0.34952231402579914
ECR_1198,Display,Frame,Supplier,8,2,1,2,7,High,16,15,0.37945948817327807
ECR_1199,Chassis,Cell,Design,1,5,1,4,4,Low,12,8,0.3567606688039875
ECR_1200,Battery,Sensor,Process,5,3,1,4,4,Medium,18,11,0.35172589647864405
ECR_1201,PCB,Frame,Supplier,1,2,1,5,7,Low,6,10,0.3459941875752521
ECR_1202,Engine,Controller,Design,10,1,3,2,7,Low,21,14,0.3786067642335817
ECR_1203,Engine,Sensor,Process,8,1,1,4,7,Low,14,18,0.3756963722304474
ECR_1204,Chassis,Connector,Supplier,8,5,3,2,2,High,20,7,0.38869726296307594
ECR_1205,PCB,Controller,Supplier,1,3,1,2,7,Medium,5,13,0.34484227101839565
ECR_1206,Display,Cell,Process,9,2,3,2,2,Medium,23,8,0.3685688352260472
ECR_1207,PCB,Frame,Process,2,2,0,1,3,Low,14,6,0.32741989588902054
ECR_1208,Chassis,Connector,Design,9,1,2,4,5,Medium,13,17,0.36319483204164404
ECR_1209,Chassis,Connector,Design,1,5,5,2,7,High,13,17,0.3666138399745657
ECR_1210,PCB,Sensor,Supplier,10,1,2,1,7,Low,21,17,0.3813325029980016
ECR_1211,Chassis,Connector,Process,9,1,0,1,4,High,14,13,0.3620558349417261
ECR_1212,PCB,Cell,Process,4,5,3,3,1,High,13,2,0.36856972680265276
ECR_1213,Battery,Cell,Process,9,3,3,3,5,Medium,24,14,0.38925489344578246
ECR_1214,PCB,Valve,Supplier,7,2,2,4,4,Medium,16,12,0.35748151598636474
ECR_1215,PCB,Cell,Process,6,3,4,3,3,Low,18,9,0.35113583059514564
ECR_1216,Chassis,Controller,Process,5,4,1,4,7,High,13,14,0.3821193510885591
ECR_1217,Chassis,Connector,Supplier,9,4,2,1,4,Medium,28,13,0.3952196981836925
ECR_1218,Engine,Cell,Design,2,4,3,1,2,Low,13,3,0.34301268726308654
ECR_1219,Engine,Sensor,Design,2,5,0,4,1,Low,17,4,0.3445303682022311
ECR_1220,Battery,Valve,Supplier,9,1,2,3,1,Medium,21,7,0.3458459625139046
ECR_1221,Engine,Connector,Process,3,3,1,3,2,High,13,6,0.33832722490030404
ECR_1222,PCB,Valve,Supplier,8,2,1,4,7,Low,19,18,0.37771764787046613
ECR_1223,Chassis,Connector,Design,9,4,1,5,7,Medium,16,15,0.40125842341322243
ECR_1224,Engine,Sensor,Design,8,3,5,3,5,Low,21,16,0.38054500361581156
ECR_1225,Engine,Valve,Supplier,4,4,4,2,2,Medium,19,7,0.3601284577040397
ECR_1226,Battery,Frame,Supplier,1,4,2,3,7,Low,14,14,0.367571031315043
ECR_1227,Battery,Controller,Design,4,2,1,5,1,High,8,4,0.32036344800599703
ECR_1228,PCB,Controller,Supplier,9,5,1,1,7,Low,25,20,0.42275548515141326
ECR_1229,Chassis,Connector,Design,2,1,0,1,3,Medium,11,9,0.3237571147495332
ECR_1230,Battery,Frame,Supplier,3,5,2,1,7,Medium,15,15,0.3865193698053486
ECR_1231,Engine,Valve,Supplier,10,3,1,3,5,Medium,24,14,0.39212234005339974
ECR_1232,Chassis,Frame,Supplier,8,5,3,1,6,High,25,18,0.40792301252696406
ECR_1233,Chassis,Frame,Design,6,3,4,5,4,Medium,13,12,0.3669459201970703
ECR_1234,Engine,Valve,Supplier,8,3,2,5,6,Medium,18,18,0.3801934774942805
ECR_1235,Battery,Sensor,Design,7,1,1,3,3,High,7,8,0.34753764898523265
ECR_1236,Engine,Frame,Design,5,2,2,2,6,Medium,13,16,0.3608149341050603
ECR_1237,Chassis,Frame,Supplier,9,1,3,3,7,Medium,17,17,0.3770896767529192
ECR_1238,Display,Sensor,Supplier,4,5,3,1,5,High,18,11,0.37682100982259803
ECR_1239,Display,Frame,Design,6,3,1,3,1,Low,21,5,0.3554584560070831
ECR_1240,PCB,Frame,Design,2,4,2,5,1,Medium,12,1,0.3371957781644239
ECR_1241,Engine,Frame,Process,2,4,3,3,3,Low,14,6,0.34975884100665827
ECR_1242,Engine,Controller,Design,2,3,1,3,6,High,9,15,0.3524608470976263
ECR_1243,PCB,Cell,Process,10,1,2,2,5,Medium,16,15,0.36501216299746975
ECR_1244,PCB,Sensor,Process,7,2,3,5,4,Medium,16,9,0.36357831831626924
ECR_1245,PCB,Frame,Process,2,1,0,4,7,High,4,13,0.3374950139658744
ECR_1246,Chassis,Controller,Supplier,2,3,2,4,6,Medium,11,12,0.3557315250749655
ECR_1247,Engine,Sensor,Supplier,9,3,2,5,6,Low,20,20,0.38305092575071564
ECR_1248,Chassis,Connector,Design,7,2,2,4,4,Low,15,12,0.3509106846812665
ECR_1249,PCB,Connector,Process,3,5,1,1,2,High,13,4,0.36865210411681126
ECR_1250,Engine,Frame,Supplier,3,5,3,4,7,Medium,15,19,0.3929322184028565
ECR_1251,Chassis,Controller,Supplier,7,2,3,1,3,Medium,18,7,0.3519779766061182
ECR_1252,Chassis,Controller,Supplier,5,5,2,5,7,High,15,18,0.39727781632717496
ECR_1253,PCB,Sensor,Supplier,10,4,0,4,5,Low,24,13,0.39777057258486964
ECR_1254,Engine,Sensor,Supplier,6,5,1,4,3,Low,19,9,0.38333747944086144
ECR_1255,PCB,Controller,Process,8,5,3,1,4,High,24,9,0.389591161590975
ECR_1256,Engine,Sensor,Process,9,5,4,1,5,Medium,23,17,0.399112722866725
ECR_1257,Display,Controller,Process,1,4,0,3,1,Low,13,3,0.3351082035184785
ECR_1258,Battery,Cell,Process,3,5,0,2,1,Medium,18,3,0.3569115367099231
ECR_1259,Battery,Controller,Design,7,4,2,4,7,Low,17,18,0.3915088980897671
ECR_1260,Battery,Connector,Process,6,2,1,2,5,Medium,15,12,0.3534774011995433
ECR_1261,PCB,Sensor,Supplier,7,1,2,2,3,Low,16,12,0.3512920330879638
ECR_1262,Display,Controller,Process,8,2,1,4,3,Medium,11,11,0.357678298138355
ECR_1263,Engine,Controller,Design,6,1,0,1,1,High,8,5,0.32772921586501613
ECR_1264,Chassis,Sensor,Supplier,3,2,0,3,1,Low,8,1,0.3311631473510147
ECR_1265,Engine,Cell,Process,2,1,1,5,4,High,0,9,0.3362078776962146
ECR_1266,Chassis,Cell,Process,7,1,1,4,5,Low,17,15,0.3566378783106623
ECR_1267,Engine,Sensor,Process,1,3,4,4,3,Low,10,5,0.33939801626531624
ECR_1268,Display,Valve,Supplier,3,1,0,5,4,Low,7,7,0.3243091268792436
ECR_1269,Chassis,Sensor,Supplier,4,1,1,2,3,Medium,13,7,0.3336542691378345
ECR_1270,PCB,Sensor,Design,1,3,3,3,1,Low,11,1,0.32927210527088074
ECR_1271,Engine,Cell,Supplier,5,5,7,2,5,High,19,14,0.3802130084454308
ECR_1272,Engine,Cell,Supplier,10,5,0,5,2,Medium,23,9,0.3923265724632262
ECR_1273,Chassis,Sensor,Process,3,3,5,5,5,Medium,13,13,0.36111604614110565
ECR_1274,PCB,Sensor,Supplier,2,4,1,3,6,Low,20,15,0.36361921058896407
ECR_1275,PCB,Sensor,Process,3,1,1,5,2,Medium,6,5,0.327119948193838
ECR_1276,Display,Cell,Process,8,1,3,5,7,Low,15,16,0.3700968300569806
ECR_1277,PCB,Sensor,Supplier,6,3,2,3,7,High,14,19,0.379854062123116
ECR_1278,PCB,Sensor,Design,7,3,0,4,4,Medium,16,13,0.37488147888262935
ECR_1279,PCB,Frame,Design,6,4,1,2,2,Medium,20,5,0.3752632716820886
ECR_1280,Battery,Valve,Supplier,6,5,1,4,2,High,18,4,0.3782987697401573
ECR_1281,Display,Connector,Design,3,2,0,4,4,High,3,9,0.3408740075136475
ECR_1282,Engine,Valve,Process,8,5,0,2,5,Low,25,12,0.4063325200715481
ECR_1283,Chassis,Frame,Process,7,1,3,4,4,Medium,14,9,0.3566786500469252
ECR_1284,Engine,Connector,Supplier,7,3,3,3,6,High,11,16,0.38267316453772615
ECR_1285,Display,Sensor,Design,6,4,4,2,1,Medium,22,4,0.36189189629372626
ECR_1286,Chassis,Frame,Design,5,5,2,1,7,High,17,17,0.39850630281680455
ECR_1287,Display,Sensor,Process,10,4,1,4,1,Medium,24,6,0.37284954942017334
ECR_1288,PCB,Cell,Supplier,8,5,1,5,7,High,10,19,0.40476514682349934
ECR_1289,Chassis,Controller,Design,5,1,3,2,2,Medium,13,6,0.33120387780497484
ECR_1290,PCB,Frame,Supplier,9,2,2,1,4,Low,20,12,0.36614857159261005
ECR_1291,Engine,Cell,Design,9,4,2,5,4,Medium,18,13,0.39018178525739144
ECR_1292,Engine,Frame,Process,1,4,2,1,4,Low,12,9,0.3510176140271086
ECR_1293,Chassis,Frame,Process,6,2,2,4,6,Low,12,17,0.3600901970805526
ECR_1294,Chassis,Cell,Supplier,7,4,0,5,6,Low,19,15,0.3929817200039687
ECR_1295,Display,Connector,Process,3,4,1,4,5,Medium,13,8,0.3554845448005346
ECR_1296,Display,Valve,Design,7,5,1,5,3,Medium,18,9,0.3833915881574176
ECR_1297,PCB,Sensor,Process,7,5,0,2,7,Low,24,18,0.3973360749081688
ECR_1298,Chassis,Frame,Supplier,2,2,3,3,3,High,2,7,0.32838883487963033
ECR_1299,Engine,Sensor,Supplier,7,1,4,3,3,Medium,13,7,0.3497812277048012
ECR_1300,Display,Controller,Supplier,1,4,1,1,7,Medium,13,11,0.3612905488986038
ECR_1301,Display,Cell,Design,5,1,5,5,5,Medium,7,11,0.3348820505744022
ECR_1302,Engine,Sensor,Design,9,2,0,4,4,Medium,21,12,0.3688291463861
ECR_1303,Display,Cell,Design,7,2,2,2,3,Low,17,10,0.3508477404135581
ECR_1304,PCB,Sensor,Design,7,5,0,2,4,High,22,11,0.3900081143244063
ECR_1305,Chassis,Valve,Design,2,4,7,2,2,High,12,2,0.3438221959452297
ECR_1306,Engine,Valve,Process,8,3,4,3,3,High,15,10,0.370877525946397
